"Date de participation";"Scellé";"Civilité";"Nom";"Prénom";"Email";"Adresse";"Code postal";"Abonné";"Optin";"Type Programme";"Type Connexion";"FilleulEmail1";"FilleulEmail2";"FilleulEmail3";"Chances";"Détail chances"
"";"non";"Mme";"luvukv";"inoni";"yiyfy@gmail.com";"";"53535";"non";"non";"";"";"";"";"";"1";"10000000"
"";"non";"Mme";"fazfaz";"zadfaz";"fazfzf@gmail.com";"";"12345";"oui";"non";"";"";"";"";"";"1";"10000000"
"";"oui";"Mme";"B";"Simon";"simon.budin@gmail.tu";"";"91600";"oui";"non";"";"";"";"";"";"1";"10000000"
"";"non";"Mme";"azdazd";"zadazd";"adzdaz@gmail.com";"";"37000";"non";"non";"";"";"";"";"";"1";"10000000"
"";"oui";"Mme";"B";"Simon";"simon.budin@gmail.com";"qsdf, qsdf qsdf";"91600";"non";"non";"Un vrai gosse";"ADSL";"test@hotmail.fr";"";"";"5";"11001110"
"";"oui";"Mme";"B";"Simon";"simon.budin@gmail.es";"";"91600";"non";"non";"";"";"";"";"";"1";"10000000"
"";"non";"Mme";"ugyukgu";"ijpojpojjopk";"piopih@gmail.com";"";"75011";"oui";"non";"";"";"azfazfa@gmail.com";"";"";"2";"11000000"
"";"oui";"Mme";"Rappfrance";"Dave";"dev@on.rappfrance.com";"";"91600";"non";"non";"";"";"";"";"";"2";"10000001"
"";"non";"Mme";"B";"Simon";"simon.budin@gmail.it";"";"91600";"oui";"non";"";"";"";"";"";"1";"10000000"
"";"non";"Mme";"dazdaz";"azdaz";"azdaz@gmail.com";"";"33000";"non";"non";"";"";"";"";"";"1";"10000000"
"";"non";"Mme";"azfaz";"azfaz";"zfafaz@gmail.com";"";"33000";"non";"non";"Star du Grand Ecran";"Satellite";"azfazfa@gmail.com";"";"auzfazfa@gmail.com";"5";"11011100"
"";"oui";"Mme";"B";"Simon";"simon.budin@gmail.bu";"et, te et";"91600";"oui";"non";"Star du Grand Ecran";"TNT";"test@hotmail.fr";"";"";"6";"11001111"
"";"oui";"Mme";"B";"Simon";"simon.budin@gmail.fr";"";"91600";"non";"non";"";"";"";"";"";"1";"10000000"
"";"non";"Mme";"Rappfrance";"Dave";"dev@on.rappfrance.bu";"";"14500";"oui";"non";"Un vrai gosse";"ADSL";"";"";"";"3";"10001100"
