"Date de participation";"Civilité";"Nom";"Prénom";"Email";"Adresse";"Code postal";"Abonné";"Optin";"Type Programme";"Type Connexion";"FilleulEmail1";"FilleulEmail2";"FilleulEmail3";"Chances";"Détail chances"
"";"Mme";"luvukv";"inoni";"yiyfy@gmail.com";"";"53535";"False";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"fazfaz";"zadfaz";"fazfzf@gmail.com";"";"12345";"True";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"B";"Simon";"simon.budin@gmail.tu";"";"91600";"True";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"azdazd";"zadazd";"adzdaz@gmail.com";"";"37000";"False";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"B";"Simon";"simon.budin@gmail.com";"qsdf, qsdf qsdf";"91600";"False";"False";"";"";"test@hotmail.fr";"";"";"5";"11001110"
"";"Mme";"B";"Simon";"simon.budin@gmail.es";"";"91600";"False";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"ugyukgu";"ijpojpojjopk";"piopih@gmail.com";"";"75011";"True";"False";"";"";"azfazfa@gmail.com";"";"";"2";"11000000"
"";"Mme";"Rappfrance";"Dave";"dev@on.rappfrance.com";"";"91600";"False";"False";"";"";"";"";"";"2";"10000001"
"";"Mme";"B";"Simon";"simon.budin@gmail.it";"";"91600";"True";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"dazdaz";"azdaz";"azdaz@gmail.com";"";"33000";"False";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"azfaz";"azfaz";"zfafaz@gmail.com";"";"33000";"False";"False";"";"";"azfazfa@gmail.com";"";"auzfazfa@gmail.com";"5";"11011100"
"";"Mme";"B";"Simon";"simon.budin@gmail.bu";"et, te et";"91600";"True";"False";"";"";"test@hotmail.fr";"";"";"6";"11001111"
"";"Mme";"B";"Simon";"simon.budin@gmail.fr";"";"91600";"False";"False";"";"";"";"";"";"1";"10000000"
"";"Mme";"Rappfrance";"Dave";"dev@on.rappfrance.bu";"";"14500";"True";"False";"";"";"";"";"";"3";"10001100"
